block_id,block_name,service_name,rank_in_block
1,ALIPURDUAR I,Application for Income Certificates,1
1,ALIPURDUAR I,Apply - Payment of WBSEDCL Electricity Bill,2
1,ALIPURDUAR I,Caste Certificate,3
1,ALIPURDUAR I,Apply - Submission of Form for Electoral Roll,4
1,ALIPURDUAR I,Apply - Land Revenue (Khajna),5
1,ALIPURDUAR I,Apply - GP Certificate,6
2,ALIPURDUAR II,Apply - Payment of WBSEDCL Electricity Bill,1
2,ALIPURDUAR II,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,2
2,ALIPURDUAR II,Application for Income Certificates,3
2,ALIPURDUAR II,Search - Bangla Awas Yojana,4
2,ALIPURDUAR II,Caste Certificate,5
2,ALIPURDUAR II,Payment History - WBSEDCL,6
3,FALAKATA,Apply - Payment of WBSEDCL Electricity Bill,1
3,FALAKATA,Apply - Submission of Form for Electoral Roll,2
3,FALAKATA,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,3
3,FALAKATA,Apply - Aadhaar & Mobile Link with Digital Ration Card,4
3,FALAKATA,Search - Download of e-Ration Card,5
3,FALAKATA,Application for Income Certificates,6
4,KALCHINI,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,1
4,KALCHINI,Search - Application Status of Digital Ration Card Application,2
4,KALCHINI,Apply - Payment of WBSEDCL Electricity Bill,3
4,KALCHINI,Apply - Verification of Electoral Roll Online,4
4,KALCHINI,Apply - Submission of Form for Electoral Roll,5
4,KALCHINI,Application for Income Certificates,6
5,KUMARGRAM,Apply - Payment of WBSEDCL Electricity Bill,1
5,KUMARGRAM,Application for Income Certificates,2
5,KUMARGRAM,Caste Certificate,3
5,KUMARGRAM,Apply - Ordinary Residencial Certificate,4
5,KUMARGRAM,Apply - Land Revenue (Khajna),5
5,KUMARGRAM,Search - Download of e-Ration Card,6
6,MADARIHAT-BIRPARA,Apply - Payment of WBSEDCL Electricity Bill,1
6,MADARIHAT-BIRPARA,Caste Certificate,2
6,MADARIHAT-BIRPARA,Apply - Aadhaar & Mobile Link with Digital Ration Card,3
6,MADARIHAT-BIRPARA,Apply - Submission of Form for Electoral Roll,4
