district_id,district_name,service_id,service_name,unique_citizen_count,citizen_percentage,rank_in_district
2.0,NORTH 24 PARGANAS,352,Apply - eKYC Seeding of Aadhaar with Digital Ration Card,10236,19.2,1.0
2.0,NORTH 24 PARGANAS,128,Apply - Aadhaar & Mobile Link with Digital Ration Card,5425,10.2,2.0
2.0,NORTH 24 PARGANAS,127,Search - Application Status of Digital Ration Card Application,4361,8.2,3.0
2.0,NORTH 24 PARGANAS,199,Apply - Payment of WBSEDCL Electricity Bill,4148,7.8,4.0
2.0,NORTH 24 PARGANAS,6,Caste Certificate,3404,6.4,5.0
2.0,NORTH 24 PARGANAS,408,Search - Status of Application of Swasthya Sathi Card,2885,5.4,6.0
2.0,NORTH 24 PARGANAS,22,Apply - Land Revenue (Khajna),2855,5.3,7.0
2.0,NORTH 24 PARGANAS,4,Application for Income Certificates,2484,4.6,8.0
2.0,NORTH 24 PARGANAS,358,Search - Download of e-Ration Card,2332,4.4,9.0
2.0,NORTH 24 PARGANAS,155,Apply - Submission of Form for Electoral Roll,2183,4.1,10.0
2.0,NORTH 24 PARGANAS,392,Modify - Add member / FPS of Ration Card Holder,2117,4.0,11.0
2.0,NORTH 24 PARGANAS,382,Status of Application (Krishak Bandhu),1730,3.2,12.0
2.0,NORTH 24 PARGANAS,267,Info - Old Age Pension Scheme,1591,3.0,13.0
2.0,NORTH 24 PARGANAS,156,Apply - Verification of Electoral Roll Online,1513,2.8,14.0
2.0,NORTH 24 PARGANAS,126,Apply - New Digital Ration Card,1326,2.5,15.0
2.0,NORTH 24 PARGANAS,131,Apply for Birth & Death Certificate,1133,2.1,16.0
2.0,NORTH 24 PARGANAS,184,Search - Bangla Awas Yojana,1086,2.0,17.0
2.0,NORTH 24 PARGANAS,86,Search - Price Information,653,1.2,18.0
2.0,NORTH 24 PARGANAS,367,Search - GRN Information,633,1.2,19.0
2.0,NORTH 24 PARGANAS,137,Apply - Swasthya Sathi Enrolment Certificate New Registration (Form â B),579,1.1,20.0
2.0,NORTH 24 PARGANAS,169,Apply - ROR Application ,578,1.1,21.0
2.0,NORTH 24 PARGANAS,243,Application for mutation of holding in municipality/ Municipal Corporation,533,1.0,22.0
2.0,NORTH 24 PARGANAS,485,eDistrict Dashboard,465,0.9,23.0
